UNIQ_ID,mod_year,age,hour,drunk_dr,numoccs,deformed,motorcycle,rollover_binary,air_bag_deployed,speedrel_binary,fatality_target
10187_1_1,1995,36,20.0,1,2,6.0,0,0,1,1,1
10187_1_2,1995,40,20.0,1,2,6.0,0,0,1,1,0
10188_2_1,2007,52,12.0,1,2,4.0,0,0,0,0,0
10188_2_2,2007,38,12.0,1,2,4.0,0,0,0,0,0
10189_1_1,1997,19,10.0,0,1,6.0,0,1,0,0,0
10189_2_1,2011,71,10.0,0,2,6.0,0,0,1,0,1
10190_1_1,2015,43,13.0,0,4,6.0,0,1,1,1,0
10190_1_2,2015,44,13.0,0,4,6.0,0,1,1,1,0
10190_1_3,2015,10,13.0,0,4,6.0,0,1,1,1,0
10190_1_4,2015,14,13.0,0,4,6.0,0,1,1,1,1
10190_2_1,2006,75,13.0,0,2,2.0,0,0,0,0,0
10190_2_2,2006,61,13.0,0,2,2.0,0,0,0,0,0
10191_1_1,2010,29,4.0,1,2,6.0,0,1,0,0,0
10191_1_2,2010,29,4.0,1,2,6.0,0,1,0,0,1
10193_1_1,1996,18,11.0,0,2,6.0,0,0,1,0,1
10193_1_2,1996,16,11.0,0,2,6.0,0,0,0,0,0
10193_2_1,1997,67,11.0,0,2,6.0,0,0,1,0,0
10193_2_2,1997,13,11.0,0,2,6.0,0,0,0,0,0
10195_1_1,2006,51,9.0,1,1,6.0,0,0,1,1,0
10195_2_1,2015,69,9.0,1,2,6.0,0,0,1,0,1
10195_2_2,2015,92,9.0,1,2,6.0,0,0,1,0,1
10196_1_1,2000,61,20.0,1,1,6.0,0,1,0,0,1
10197_1_1,2000,47,20.0,1,1,6.0,0,0,0,0,0
10198_1_1,2005,80,9.0,0,2,6.0,0,0,1,0,0
10198_1_2,2005,98,9.0,0,2,6.0,0,0,1,0,1
10198_2_1,2002,72,9.0,0,1,6.0,0,0,0,0,0
10199_1_1,2002,19,10.0,0,1,6.0,0,0,1,0,1
10199_2_1,1999,24,10.0,0,4,6.0,0,0,1,0,1
10199_2_2,1999,4,10.0,0,4,6.0,0,0,0,0,0
10199_2_3,1999,0,10.0,0,4,6.0,0,0,0,0,0
10199_2_4,1999,1,10.0,0,4,6.0,0,0,0,0,0
10200_1_1,2000,49,11.0,0,1,6.0,0,0,1,0,0
10200_2_1,1993,49,11.0,0,3,6.0,0,0,0,0,0
10200_2_2,1993,72,11.0,0,3,6.0,0,0,0,0,1
10200_2_3,1993,49,11.0,0,3,6.0,0,0,0,0,0
10201_1_1,1999,25,23.0,0,1,6.0,0,0,1,1,1
10202_1_1,1999,48,20.0,0,1,6.0,0,1,0,0,1
10202_2_1,2000,27,20.0,0,1,6.0,0,0,1,0,0
10203_1_1,2008,20,0.0,1,1,6.0,0,0,1,1,1
10203_2_1,2006,37,0.0,1,1,4.0,0,0,0,0,0
10204_1_1,2005,27,18.0,0,3,6.0,0,1,0,1,1
10205_1_1,2011,27,0.0,1,2,6.0,0,1,1,0,0
10206_1_1,2006,40,19.0,0,2,2.0,0,0,0,0,0
10206_1_2,2006,10,19.0,0,2,2.0,0,0,0,0,0
10207_1_1,2003,19,20.0,0,1,6.0,0,0,0,1,1
10207_2_1,2009,50,20.0,0,1,6.0,0,0,1,0,0
10209_1_1,2003,18,13.0,0,1,6.0,0,0,1,0,0
10209_2_1,2010,47,13.0,0,1,6.0,0,0,1,0,1
10211_1_1,2008,72,9.0,0,1,6.0,0,1,1,0,0
10211_2_1,1994,37,9.0,0,1,6.0,0,0,1,0,1
10213_1_1,2003,31,21.0,0,1,6.0,0,0,1,1,1
10213_2_1,1999,53,21.0,0,2,6.0,0,0,1,0,1
10213_2_2,1999,51,21.0,0,2,6.0,0,0,1,0,0
